央視頻道,#genre#
深圳卫视,http://39.134.168.91/PLTV/1/224/3221225534/index.m3u8

天津卫视,http://39.134.168.91/PLTV/1/224/3221225594/index.m3u8

兵团卫视,http://39.134.168.91/PLTV/1/224/3221225634/index.m3u8

东南卫视,http://39.134.168.91/PLTV/1/224/3221225580/index.m3u8

广东卫视,http://39.134.168.91/PLTV/1/224/3221225528/index.m3u8

广东卫视,http://39.134.168.91/PLTV/1/224/3221225530/index.m3u8

湖北卫视,http://39.134.168.91/PLTV/1/224/3221225544/index.m3u8

湖北卫视,http://39.134.168.91/PLTV/1/224/3221225546/index.m3u8

江西卫视,http://39.134.168.91/PLTV/1/224/3221225588/index.m3u8

辽宁卫视,http://39.134.168.91/PLTV/1/224/3221225590/index.m3u8

山东卫视,http://39.134.168.91/PLTV/1/224/3221225540/index.m3u8

山东卫视,http://39.134.168.91/PLTV/1/224/3221225542/index.m3u8

重庆卫视,http://39.134.168.91/PLTV/1/224/3221225576/index.m3u8

龙江卫视,http://39.134.168.91/PLTV/1/224/3221225536/index.m3u8

龙江卫视,http://39.134.168.91/PLTV/1/224/3221225538/index.m3u8

河南卫视,http://39.134.168.91/PLTV/1/224/3221225584/index.m3u8

甘肃卫视,http://39.134.168.91/PLTV/1/224/3221225636/index.m3u8

广西卫视,http://39.134.168.91/PLTV/1/224/3221225598/index.m3u8

贵州卫视 ,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=41&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1

河北卫视,http://39.134.168.91/PLTV/1/224/3221225624/index.m3u8

吉林卫视,http://39.134.168.91/PLTV/1/224/3221225586/index.m3u8

山西卫视,http://39.134.168.91/PLTV/1/224/3221225646/index.m3u8

陕西卫视,http://39.134.168.91/PLTV/1/224/3221225628/index.m3u8

厦门卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226781/1.m3u8

厦门卫视,http://39.134.168.91/PLTV/1/224/3221225640/index.m3u8

四川卫视,http://39.134.168.91/PLTV/1/224/3221225592/index.m3u8

云南卫视,http://39.134.168.91/PLTV/1/224/3221225632/index.m3u8

海南卫视,http://39.134.168.91/PLTV/1/224/3221225620/index.m3u8

宁夏卫视,http://39.134.168.91/PLTV/1/224/3221225638/index.m3u8

青海卫视,http://39.134.168.91/PLTV/1/224/3221225622/index.m3u8

内蒙卫视,http://39.134.168.91/PLTV/1/224/3221225626/index.m3u8

西藏卫视,http://39.134.168.91/PLTV/1/224/3221225648/index.m3u8

新疆卫视,http://223.110.247.161:6610/gitv/live1/G_XINJIANG/G_XINJIANG

新疆卫视,http://101.71.255.229:6610/zjhs/2/10050/index.m3u8?virtualDomain=zjhs.live_hls.zte.com

